Film,Rotten Tomatoes % critics,Metacritic % critics,Average critics %,Rotten Tomatoes Audience %,Metacritic Audience %,Rotten Tomatoes vs Metacritic % deviance,Average audience %,Audience vs Critics deviance %,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),% of Gross earned abroad,Budget ($million),% Budget recovered,% Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
Late Night,80.0,70.0,75,77.0,59.0,18,68,7,Comedy,Comedy,original screenplay,0.246305,246305.0,15.500045,15500045.0,6.887012,6887012,22387057.0,22.387057,0.3076336474,4.0,5.59676425,0.06157625,2019.0,,,https://www.amazon.co.uk/Late-Night-Emma-Thompson/dp/B07XF8GS5B/ref=sr_1_1?crid=2IV3B0Q65D333&keywords=late+night&qid=1577973659&s=instant-video&sprefix=Late+Night%2Cinstant-video%2C149&sr=1-1
Good Boys,80.0,60.0,70,86.0,61.0,25,73.5,-3.5,Comedy,Comedy,original screenplay,21.402605,21402605.0,83.08307,83083070.0,27.8,27800000,110883070.0,110.88307,0.250714559,20.0,5.5441535,1.07013025,2019.0,,,https://www.amazon.co.uk/Good-Boys-Jacob-Tremblay/dp/B07WHRNC7M/ref=sr_1_1?crid=3S5J2JFLOJ9E1&keywords=good+boys&qid=1577973497&s=instant-video&sprefix=Good+Boys%2Cinstant-video%2C160&sr=1-1
Skyfall,92.0,81.0,86.5,86.0,75.0,11,80.5,6,action,"action, adventure, thriler",original screenplay,88.364714,88364714.0,304.360277,304360277.0,804.200736,804200736,1108561013.0,1108.561013,0.7254456242,200.0,5.542805065,0.44182357,2012.0,,,http://www.amazon.com/gp/product/B00B5HQLMI/?tag=titb-20
The Jungle Book,94.0,77.0,85.5,87.0,75.0,12,81,4.5,Adventure,Adventure,adaptation,103.261464,103261464.0,364.001123,364001123.0,602.521065,602521065,966522188.0,966.522188,0.6233908259,175.0,5.522983931,0.5900655086,2016.0,,,https://www.amazon.com/Jungle-Book-Theatrical-Bill-Murray/dp/B01E60ZAA4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219544&sr=1-1&keywords=The+Jungle+Book
Wonder Woman,92.0,76.0,84,89.0,78.0,11,83.5,0.5,action,"action, adventure",adaptation,103.251471,103251471.0,412.563408,412563408.0,409.2,409200000,821763408.0,821.763408,0.4979535424,149.0,5.515190658,0.6929628926,2017.0,,,https://www.amazon.co.uk/Wonder-Woman-Gal-Gadot/dp/B071P79C7X/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980954&sr=1-1&keywords=Wonder+Woman
BrightBurn,57.0,44.0,50.5,67.0,64.0,3,65.5,-15,Horror,Horror,original screenplay,7.845658,7845658.0,17.259427,17259427.0,15.592982,15592982,32852409.0,32.852409,0.4746374003,6.0,5.4754015,1.307609667,2019.0,,,https://www.amazon.co.uk/Brightburn-Elizabeth-Banks/dp/B07VKF561P/ref=sr_1_1?crid=2H49IXCE1R7D&keywords=brightburn&qid=1577973226&s=instant-video&sprefix=BrightBurn%2Cinstant-video%2C148&sr=1-1
50/50,93.0,72.0,82.5,93.0,81.0,12,87,-4.5,comedy,comedy,based on a true story,8.64,8640000.0,35.01,35010000.0,4.17,4170000,43650035.01,43.65003501,0.09553256943,8.0,5.456254376,1.08,2011.0,,,http://www.amazon.com/gp/product/B00715S5Z4/?tag=titb-20
Countdown,25.0,31.0,28,72.0,32.0,40,52,-24,Horror,Horror,original screenplay,8.865082,8865082.0,25.324261,25324261.0,10.0,10000000,35324261.0,35.324261,0.2830915557,6.5,5.434501692,1.363858769,2019.0,,,https://www.amazon.co.uk/Countdown-Anne-Winters/dp/B0814CHYTD/ref=sr_1_1?crid=11GJOV3S2YCMC&keywords=countdown+2019&qid=1577973288&s=instant-video&sprefix=Countdown%2Cinstant-video%2C146&sr=1-1
The Dark Knight,94.0,82.0,88,96.0,90.0,6,93,-5,action,"action, crime, thriller",adaptation,158.4,158400000.0,534.86,534860000.0,469.7,469700000,1004560000.0,1004.56,0.4675678904,185.0,5.430054054,0.8562162162,2008.0,,,http://www.amazon.com/gp/product/B001I189MQ/?tag=titb-20
Blue Jasmine,91.0,78.0,84.5,77.0,76.0,1,76.5,8,Drama,"Drama, Comedy",original screenplay,0.612064,612064.0,33.405481,33405481.0,64.1,64100000,97505481.0,97.505481,0.6573989415,18.0,5.416971167,0.03400355556,2013.0,Oscar Winner,Best Actress (Cate Blanchett),http://www.amazon.com/gp/product/B00HAQAQME/?tag=titb-20
Woman in Gold,52.0,51.0,51.5,81.0,71.0,10,76,-24.5,drama,drama,based on a true story,2.091551,2091551.0,33.307195,33307195.0,26.18589,26185890,59493085.0,59.493085,0.4401501452,11.0,5.408462273,0.190141,2015.0,,,http://www.amazon.com/gp/product/B0101432XQ/?tag=titb-20
Movie 43,4.0,18.0,11,24.0,30.0,-6,27,-16,Comedy,Comedy,original screenplay,4.805878,4805878.0,8.840453,8840453.0,23.598535,23598535,32438988.0,32.438988,0.7274744514,6.0,5.406498,0.8009796667,2013.0,,,http://www.amazon.com/gp/product/B00DBT6SI0/?tag=titb-20
The Ugly Truth ,14.0,28.0,21,68.0,50.0,18,59,-38,comedy,"comedy, romance",original screenplay,27.6,27600000.0,88.9,88900000.0,116.38,116380000,205280000.0,205.28,0.5669329696,38.0,5.402105263,0.7263157895,2009.0,,,http://www.amazon.com/gp/product/B002W9BO8O/?tag=titb-20
Stomp the Yard,27.0,44.0,35.5,81.0,70.0,11,75.5,-40,drama,"music, drama",original screenplay,21.833312,21833312.0,61.356221,61356221.0,14.154902,14154902,75511123.0,75.511123,0.187454529,14.0,5.393651643,1.559522286,2007.0,,,http://www.amazon.co.uk/Stomp-Yard-Chris-Brown/dp/B00IBNEOKA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386536&sr=1-1&keywords=Stomp+the+Yard
Journey to the Center of the Earth,61.0,57.0,59,55.0,49.0,6,52,7,action,"action, adventure, family",original screenplay,21.0,21000000.0,101.7,101700000.0,140.29,140290000,241990000.0,241.99,0.5797346998,45.0,5.377555556,0.4666666667,2008.0,,,http://www.amazon.com/gp/product/B001JIDE3M/?tag=titb-20
The Secret Life of Pets 2,59.0,55.0,57,90.0,61.0,29,75.5,-18.5,Adventure,Adventure,sequel,46.65268,46652680.0,158.257265,158257265.0,271.176898,271176898,429434163.0,429.434163,0.6314749067,80.0,5.367927038,0.5831585,2019.0,,,https://www.amazon.co.uk/Secret-Life-Pets-2/dp/B07S864VL4/ref=sr_1_1?crid=3G9A0QJXDYSLA&keywords=the+secret+life+of+pets+2&qid=1577974471&s=instant-video&sprefix=The+Secret+Life+of+Pets+2%2Cinstant-video%2C146&sr=1-1
Toy Story 4,97.0,84.0,90.5,94.0,80.0,14,87,3.5,Adventure,Adventure,sequel,120.908065,120908065.0,434.037417,434037417.0,639.356585,639356585,1073394002.0,1073.394002,0.5956401692,200.0,5.36697001,0.604540325,2019.0,,,https://www.amazon.co.uk/Toy-Story-Tom-Hanks-Woody/dp/B07TK1Y4PC/ref=sr_1_1?crid=SZHGCXBTPJN9&keywords=toy+story+4&qid=1577974517&s=instant-video&sprefix=Toy+Story+4%2Cinstant-video%2C154&sr=1-1
The Heat,65.0,60.0,62.5,72.0,65.0,7,68.5,-6,Action,"Action, Comedy, Crime",original screenplay,39.115043,39115043.0,159.582188,159582188.0,70.348583,70348583,229727774.0,229.727774,0.3062258506,43.0,5.342506372,0.9096521628,2013.0,,,http://www.amazon.com/gp/product/B00F4YK53Y/?tag=titb-20
27 Dresses,40.0,47.0,43.5,71.0,58.0,13,64.5,-21,comedy,"comedy, romance",sequel,23.01,23010000.0,76.81,76810000.0,83.45,83450000,160260000.0,160.26,0.520716336,30.0,5.342,0.767,2008.0,,,http://www.amazon.com/gp/product/B0015KMYUS/?tag=titb-20
Toy Story 3,99.0,92.0,95.5,91.0,91.0,0,91,4.5,animation,"animation, adventure, comedy",sequel,110.3,110300000.0,415.0,415000000.0,648.16,648160000,1063160000.0,1063.16,0.6096542383,200.0,5.3158,0.5515,2010.0,Oscar Winner,Best Animated Feature,http://www.amazon.com/gp/product/B004C3DLJ8/?tag=titb-20
Step Up 3D,46.0,45.0,45.5,67.0,61.0,6,64,-18.5,romance,"music, romance",sequel,15.8,15800000.0,42.4,42400000.0,116.89,116890000,159290000.0,159.29,0.733818821,30.0,5.309666667,0.5266666667,2010.0,,,http://www.amazon.com/gp/product/B004EK91LQ/?tag=titb-20
Apollo 18,23.0,24.0,23.5,31.0,47.0,-16,39,-15.5,horror,"horror, sci-fi, thriller",original screenplay,8.7,8700000.0,17.69,17690000.0,7.88,7880000,26390017.69,26.39001769,0.2985977536,5.0,5.278003538,1.74,2011.0,,,http://www.amazon.com/gp/product/B006QPVGKG/?tag=titb-20
The Call,43.0,51.0,47,65.0,65.0,0,65,-18,thriller,Thriller,original screenplay,17.118745,17118745.0,51.872378,51872378.0,16.7,16700000,68572378.0,68.572378,0.2435382947,13.0,5.274798308,1.316826538,2013.0,,,http://www.amazon.com/gp/product/B00DHMI9YM/?tag=titb-20
Bridget Jones’s Baby,77.0,59.0,68,75.0,72.0,3,73.5,-5.5,romance,"romance, comedy",sequel,8.571785,8571785.0,24.139805,24139805.0,160.015368,160015368,184155173.0,184.155173,0.8689159549,35.0,5.261576371,0.2449081429,2016.0,,,https://www.amazon.com/Bridget-Joness-Baby-Ren%C3%A9e-Zellweger/dp/B01N0ICNMH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218670&sr=1-1&keywords=Bridget+Jones%E2%80%99s+Baby
Dunkirk,92.0,94.0,93,82.0,84.0,-2,83,10,action,"action, thriller",original screenplay,50.513488,50513488.0,188.045546,188045546.0,337.0,337000000,525045546.0,525.045546,0.6418490787,100.0,5.25045546,0.50513488,2017.0,Oscar Winner,"Best Film Editing, Best Sound Editing, Best Sound Mixing",https://www.amazon.co.uk/Dunkirk-Christopher-Nolan/dp/B076QYZ5NC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981488&sr=1-1&keywords=Dunkirk
Flight,78.0,76.0,77,75.0,72.0,3,73.5,3.5,thriller,thriller,original screenplay,24.900566,24900566.0,93.772375,93772375.0,68.0,68000000,161772375.0,161.772375,0.4203437083,31.0,5.21846371,0.8032440645,2012.0,,,http://www.amazon.com/gp/product/B00BB8SKPW/?tag=titb-20
Transformers: Age of Extinction,18.0,32.0,25,52.0,46.0,6,49,-24,action,"action, adventure, sci-fi",sequel,100.03839,100038390.0,45.439076,45439076.0,845.966021,845966021,1091405097.0,1091.405097,0.7751164287,210.0,5.197167129,0.4763732857,2014.0,,,http://www.amazon.com/gp/product/B00L83TQR6/?tag=titb-20
Sorry to Bother You,94.0,81.0,87.5,63.0,70.0,-7,66.5,21,Comedy,Comedy,original screenplay,0.727266,727266.0,16.623284,16623284.0,0.0,0,16623284.0,166.23284,0.0,3.2,5.19477625,0.227270625,2018.0,,,https://www.amazon.com/Sorry-Bother-You-Boots-Riley/dp/B07FN8STFS/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974855&sr=1-1&keywords=Sorry+to+Bother+You
The Fighter,91.0,79.0,85,88.0,81.0,7,84.5,0.5,biography,"biography, sport",based on a true story,12.0,12000000.0,93.62,93620000.0,35.54,35540000,129160000.0,129.16,0.275162589,25.0,5.1664,0.48,2010.0,,,http://www.amazon.com/gp/product/B004S5D3B6/?tag=titb-20
Argo,96.0,86.0,91,90.0,79.0,11,84.5,6.5,biography,"biography, history",based on a true story,19.458109,19458109.0,136.025503,136025503.0,96.3,96300000,232325503.0,232.325503,0.4145046444,45.0,5.162788956,0.4324024222,2012.0,Oscar Winner,"Best Picture, Best Adapted Screenplay",http://www.amazon.com/gp/product/B00BHMETKC/?tag=titb-20
The Intern,60.0,51.0,55.5,78.0,64.0,14,71,-15.5,comedy,comedy,original screenplay,17.728313,17728313.0,71.334552,71334552.0,109.3,109300000,180634552.0,180.634552,0.6050891083,35.0,5.1609872,0.5065232286,2015.0,,,http://www.amazon.com/gp/product/B015SK5Y4S/?tag=titb-20
Inception,86.0,74.0,80,93.0,86.0,7,89.5,-9.5,action,"action, adventure, mystery",original screenplay,62.8,62800000.0,292.58,292580000.0,532.96,532960000,825540000.0,825.54,0.6455895535,160.0,5.159625,0.3925,2010.0,,,http://www.amazon.com/gp/product/B0047WJ12K/?tag=titb-20
Madagascar 3: Europe's Most Wanted,79.0,60.0,69.5,73.0,66.0,7,69.5,0,animation,"animation, adventure, comedy",sequel,60.316738,60316738.0,216.391482,216391482.0,530.529792,530529792,746921274.0,746.921274,0.7102887687,145.0,5.1511812,0.4159775034,2012.0,,,http://www.amazon.com/gp/product/B0097EZ36Q/?tag=titb-20
Alvin and the Chipmunks,26.0,39.0,32.5,65.0,55.0,10,60,-27.5,family,"family, comedy",adaptation,44.307417,44307417.0,217.326974,217326974.0,143.138914,143138914,360465888.0,360.465888,0.3970942016,70.0,5.149512686,0.6329631,2007.0,,,http://www.amazon.co.uk/Alvin-Chipmunks-Jason-Lee/dp/B00FYJ5MPK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385629&sr=1-1&keywords=Alvin+and+the+Chipmunks
Midsommar,83.0,72.0,77.5,63.0,64.0,-1,63.5,14,Horror,Horror,original screenplay,6.56003,6560030.0,27.426363,27426363.0,13.697409,13697409,41123772.0,41.123772,0.3330776418,8.0,5.1404715,0.82000375,2019.0,,,https://www.amazon.co.uk/Midsommar-Florence-Pugh/dp/B07YRG9FVS/ref=sr_1_1?keywords=Midsommar&qid=1577973717&s=instant-video&sr=1-1
Alice in Wonderland,52.0,53.0,52.5,72.0,55.0,17,63.5,-11,adventure,"adventure, family, fantasy",adaptation,116.1,116100000.0,334.19,334190000.0,691.28,691280000,1025470000.0,1025.47,0.6741104079,200.0,5.12735,0.5805,2010.0,,,http://www.amazon.com/gp/product/B003QTUQGU/?tag=titb-20
Finding Dory,94.0,77.0,85.5,86.0,74.0,12,80,5.5,Adventure,Adventure,sequel,135.060273,135060273.0,486.088707,486088707.0,539.342116,539342116,1025430823.0,1025.430823,0.5259663586,200.0,5.127154115,0.675301365,2016.0,,,https://www.amazon.com/Finding-Dory-Plus-Bonus-Content/dp/B01H2HGM0U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219571&sr=1-1&keywords=Finding+Dory
The DUFF,71.0,56.0,63.5,67.0,67.0,0,67,-3.5,comedy,comedy,adaptation,10.809149,10809149.0,34.030343,34030343.0,9.498291,9498291,43528634.0,43.528634,0.2182078813,8.5,5.121015765,1.271664588,2015.0,,,http://www.amazon.com/gp/product/B00UXS8PQ0/?tag=titb-20
P.S. I Love You,21.0,39.0,30,80.0,68.0,12,74,-44,romance,romance,adaptation,6.481221,6481221.0,53.695808,53695808.0,99.397697,99397697,153093505.0,153.093505,0.6492613583,30.0,5.103116833,0.2160407,2007.0,,,http://www.amazon.co.uk/P-S-Love-You-Hilary-Swank/dp/B00IK7GQAS/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386369&sr=1-1&keywords=p.s.+i+love+you
Murder on the Orient Express,58.0,52.0,55,58.0,63.0,-5,60.5,-5.5,thriller,thriller,adaptation,28.681472,28681472.0,94.440669,94440669.0,185.564854,185564854,280005523.0,280.005523,0.6627185493,55.0,5.091009509,0.5214813091,2017.0,,,https://www.amazon.co.uk/Murder-Orient-Express-Tom-Bateman/dp/B076MJYBNG/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980593&sr=1-1&keywords=Murder+on+the+Orient+Express
The Hobbit: An Unexpected Journey,65.0,58.0,61.5,83.0,81.0,2,82,-20.5,adventure,"adventure, fantasy",adaptation,84.617303,84617303.0,303.003568,303003568.0,714.0,714000000,1017003568.0,1017.003568,0.7020624337,200.0,5.08501784,0.423086515,2012.0,,,http://www.amazon.com/gp/product/B00BWJ6JO4/?tag=titb-20
Life of Pi,87.0,79.0,83,85.0,78.0,7,81.5,1.5,adventure,"adventure, fantasy",adaptation,22.451514,22451514.0,124.987023,124987023.0,484.029542,484029542,609016565.0,609.016565,0.7947723754,120.0,5.075138042,0.18709595,2012.0,Oscar Winner,Best Director,http://www.amazon.com/gp/product/B00BSBT8M6/?tag=titb-20
That Awkward Moment,23.0,36.0,29.5,47.0,53.0,-6,50,-20.5,comedy,"comedy, romance",original screenplay ,8.742109,8742109.0,26.068955,26068955.0,14.4,14400000,40468955.0,40.468955,0.3558283133,8.0,5.058619375,1.092763625,2014.0,,,http://www.amazon.com/gp/product/B00KAUCTLS/?tag=titb-20
Diary of a Wimpy Kid,53.0,56.0,54.5,49.0,66.0,-17,57.5,-3,comedy,"comedy, family",adaptation,22.1,22100000.0,64.0,64000000.0,11.7,11700000,75700000.0,75.7,0.1545574637,15.0,5.046666667,1.473333333,2010.0,,,http://www.amazon.com/gp/product/B003Y6LROU/?tag=titb-20
Spider-Man: Homecoming,92.0,73.0,82.5,88.0,80.0,8,84,-1.5,action,"action, adventure","sequel, adaptation",117.027503,117027503.0,334.20114,334201140.0,545.965784,545965784,880166924.0,880.166924,0.6202980016,175.0,5.02952528,0.6687285886,2017.0,,,https://www.amazon.co.uk/Spider-Man-Homecoming-Robert-Downey-Jr/dp/B073G7Y32R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980850&sr=1-1&keywords=Spider-Man%3A+Homecoming
Tammy,23.0,39.0,31,37.0,30.0,7,33.5,-2.5,comedy,comedy,original screenplay ,21.577049,21577049.0,84.525432,84525432.0,15.85,15850000,100375432.0,100.375432,0.157907166,20.0,5.0187716,1.07885245,2014.0,,,http://www.amazon.com/gp/product/B00LGITGDW/?tag=titb-20
Fast Five,78.0,67.0,72.5,83.0,74.0,9,78.5,-6,action,"action, crime, thriller",sequel,86.19,86190000.0,209.4,209400000.0,416.3,416300000,626130000.0,626.13,0.6648779008,125.0,5.00904,0.68952,2011.0,,,http://www.amazon.com/gp/product/B00CC8789O/?tag=titb-20
Race,61.0,56.0,58.5,78.0,65.0,13,71.5,-13,Drama,Drama,based on a true story,7.353922,7353922.0,19.115191,19115191.0,5.864054,5864054,24979245.0,24.979245,0.2347570553,5.0,4.995849,1.4707844,2016.0,,,https://www.amazon.com/Race-Stephan-James/dp/B01FERVANY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218564&sr=1-1&keywords=Race
Shrek the Third,42.0,58.0,50,52.0,66.0,-14,59,-9,animation,animation,sequel,121.62927,121629270.0,322.719944,322719944.0,476.238221,476238221,798958165.0,798.958165,0.5960740397,160.0,4.993488531,0.7601829375,2007.0,,,http://www.amazon.co.uk/Shrek-Third-Mike-Myers/dp/B00FYOCGZY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386496&sr=1-1&keywords=shrek+the+third
Dr. Seuss' The Lorax,54.0,46.0,50,64.0,65.0,-1,64.5,-14.5,animation,"animation, comedy, family",adaptation,70.21707,70217070.0,214.0305,214030500.0,134.809816,134809816,348840316.0,348.840316,0.3864513642,70.0,4.983433086,1.003101,2012.0,,,http://www.amazon.com/gp/product/B008K3HRF0/?tag=titb-20
Identity Thief,19.0,35.0,27,54.0,49.0,5,51.5,-24.5,Comedy,"Comedy, Crime",original screenplay,34.551025,34551025.0,134.50692,134506920.0,39.45809,39458090,173965010.0,173.96501,0.2268162431,35.0,4.970428857,0.9871721429,2013.0,,,http://www.amazon.com/gp/product/B00D6C6JAO/?tag=titb-20
Vice,62.0,61.0,61.5,54.0,62.0,-8,58,3.5,Drama,Drama,based on a true story,7.768371,7768371.0,29.796477,29796477.0,0.0,0,29796477.0,297.96477,0.0,60.0,4.9660795,-,2018.0,,,https://www.amazon.com/Vice-Christian-Bale/dp/B07MNJ3JPP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970580&sr=1-1&keywords=Vice
The Fate of the Furious,67.0,56.0,61.5,73.0,70.0,3,71.5,-10,action,action,sequel,98.786705,98786705.0,225.764765,225764765.0,1009.996733,1009996733,1235761498.0,1235.761498,0.8173071702,250.0,4.943045992,0.39514682,2017.0,,,https://www.amazon.co.uk/Fast-Furious-8-Vin-Diesel/dp/B071QWP6NX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980024&sr=1-1&keywords=The+Fate+of+the+Furious
My Big Fat Greek Wedding 2,29.0,37.0,33,55.0,54.0,1,54.5,-21.5,Comedy,Comedy,sequel,17.86195,17861950.0,59.689605,59689605.0,29.233646,29233646,88923251.0,88.923251,0.3287514308,18.0,4.940180611,0.9923305556,2016.0,,,https://www.amazon.com/My-Big-Fat-Greek-Wedding/dp/B01DASBBQU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219106&sr=1-1&keywords=My+Big+Fat+Greek+Wedding+2
Resident Evil: Afterlife,24.0,37.0,30.5,53.0,54.0,-1,53.5,-23,action,"action, adventure, horror",sequel,26.7,26700000.0,60.13,60130000.0,236.09,236090000,296220000.0,296.22,0.7970089798,60.0,4.937,0.445,2010.0,,,http://www.amazon.com/gp/product/B008Y6WO88/?tag=titb-20
Fast & Furious 6,69.0,61.0,65,84.0,71.0,13,77.5,-12.5,Action,"Action, Adventure, Thriller, Crime",sequel,97.375245,97375245.0,238.67985,238679850.0,550.0,550000000,788679850.0,788.67985,0.6973678863,160.0,4.929249063,0.6085952813,2013.0,,,http://www.amazon.com/gp/product/B00FY2UJAU/?tag=titb-20
The Other Woman (2014),23.0,39.0,31,57.0,51.0,6,54,-23,comedy,"comedy, romance",original screenplay ,24.763752,24763752.0,83.911193,83911193.0,112.87,112870000,196781193.0,196.781193,0.5735812365,40.0,4.919529825,0.6190938,2014.0,,,http://www.amazon.com/gp/product/B00JXCZKU6/?tag=titb-20
The Strangers: Prey at Night,38.0,48.0,43,36.0,54.0,-18,45,-2,Horror,Horror,sequel,10.402271,10402271.0,24.431472,24431472.0,0.155236,155236,24586708.0,245.86708,0.006313818019,5.0,4.9173416,2.0804542,2018.0,,,https://www.amazon.com/Strangers-Prey-at-Night/dp/B07B8CYRZR/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546970777&sr=1-3&keywords=The+Strangers%3A+Prey+at+Night
